id1	uid1	bw1	ew1	b1	e1	len1	tok1	s1	seq1	gid1	id2	uid2	bw2	ew2	b2	e2	len2	tok2	s2	seq2	gid2	matches	score	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
Shamela0009773-ara1.completed.ms0479	5973376636944723880	258	300	1233	1440	1440	300	فقال ان رجالا من المنافقين يزعمون ان رسول الله صلي الله عليه وسلم توفي وان رسول الله صلي الله عليه وسلم ما مات ولكنه ذهب الي ربه كما ذهب موسي بن عمران وغاب عن قومه اربعين ليلة والله ليرجعن رسول الله-- فليقطعن	479	-6975711717136266207	Shia003675Vols-ara1.completed.ms1456	-3682780495465442268	229	259	1198	1343	1466	283	يقول ان رجالا من المنافقين يزعمون ان رسول الله ص----------------- توفي وانه والله---------------------- ما مات ولكنه ذهب الي ربه كما ذهب موسي بن عمران وا-------------------------لله ليرجعن رسول الله ص فليقطعن	1456	6775594777709934334	134	227.5	106	209	64.11483001708984	24	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
Shamela0009773-ara1.completed.ms0545	3748089428948457950	167	201	814	968	1448	300	كنت لا تدرين بال--موت فانظري الي هانء في السوق وابن عقيل الي بطل قد هشم السيف وجهه واخر يهوي من طمار قت-------------------------------------------------يل تري جسدا قد غير الموت لونه ونضح دم قد سال كل مسيل	545	-6975711717136266207	Shia003675Vols-ara1.completed.ms0808	2997461354929431861	165	209	829	1034	1498	300	كنت لا تدرين ما الموت فانظري الي هانء في السوق وابن عقيل الي بطل قد فلق السيف راسه واخر يهوي من جدار قتيل اصابهما امر الاله فاصبحا احاديث من يسعي بكل سبيل تري جسدا قد غير الموت لونه ونضح دم قد سال كل مسيل	808	6775594777709934334	144	269.5	110	205	70.24390411376953	29	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
Shamela0009773-ara1.completed.ms0546	35269719332756063	21	149	102	737	1476	300	هانء بن ابي حية الوادعي من همدان ووجه محمد بن الاشعث الي الحسين من الحيرة بخبر ابن عقيل وساله الانصراف فلم يلتفت الي قوله وابا الا القدوم الي العراق وقد كان مسلم كتب اليه يعلمه كثرة من بايعه من الناس واظهار اهل الكوفة -السرور بمقدمه و--يساله تعجيل القدوم قالوا ولما كتب ---------------------------------------------------------------------------------------------------------------------------------------ابن زياد الي يزيد بقتل مسلم وبعثته اليه براسه وراس هانء بن عروة وراس ابن صلحب وما فعل بهم كتب اليه يزيد انك لم تعد ان- كنت كما احب عملت عمل الحازم وصلت صولة الشجاع وحقق----------------ت ظني ب-------ك ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------وقد بلغني ان --حسينا توجه الي الع----------------------------------راق فضع ---------المناظر والمسالخ واذك العيون واحترس كل الاحتراس فاحبس علي الظنة وخذ بالتهمة غير ان لا تقاتل الا من قاتلك واكتب الي في كل يوم بما يحدث---- من خير ان شاء الله --	546	-6975711717136266207	Shia003675Vols-ara1.completed.ms0809	5026299546019508395	13	150	79	791	1522	300	هانء بن ابي حية الوادعي والزبير -----------بن الاروح التميمي وهما من------------------------------------------------------------------------------------------------------------------------------------------ اهل الطاعة والسنة والجماعة فليسالهما امير المءمنين عما تحب فانهما ذو عقل وفهم وصدق قال فلما ورد الكتاب والراسان جميعا الي يزيد بن معاوية قرا الكتاب وامر بالراسين فنصبا علي باب مدينة دمشق ثم كتب الي ابن زياد اما بعد ف--------------------------------------------------------------------------------------انك لم تعد اذا كنت كما احب عملت عمل الحازم وصلت صولة الشجاع الرابض فقد كفيت ووقيت ظني ورايي فيك وقد دعوت رسوليك فسالتهما عن الذي ذكرت فقد وجدتهما في رايهما وعقلهما وفهمهما وفضلهما ومذهبهما كما ذكرت وقد امرت لكل واحد منهما بعشرة الاف درهم وسرحت هما اليك فاستوص بهما خيرا وقد بلغني ان الحسين بن علي رضي الله عنهما فد عزم علي المسير الي العراق فضع المراصد والمناظر--------------------- واحترس و------------احبس علي الظن------------------------------------------ واكتب الي في كل يوم بما يتجدد لك من خير او شر والسلام	809	6775594777709934334	221	251.0	171	1022	21.624265670776367	34	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
Shamela0009773-ara1.completed.ms0547	6361621113152387503	38	131	178	617	1441	300	كنت لا تدرين ما الموت فانظري الي هانء في السوق وابن عقيل تري رجلا قد جدع السيف انفه ونضح دم قد سال كل مسيل اصابهما امر الاله فاصبحا احاديث من يهوي بكل سبيل قال خلف وسمعت من يزيد في هذا الشعر ايركب اسماء الهمالج امنا وقد طلبته مذحج بقتيل حدثني حفص بن عمر عن الهيثم بن عدي عن عوانة قال جري بين ابن عقيل وابن زياد كلام فقال له ابن زياد ايه يا بن حلية فقال له ابن عقيل حلية خير من سم-------------------------------------------------------------------------ية واعف----------------------------------------------------------------------------------------------------------------------------------------------------------- بسم الله الرحمن الرحيم قبسات من ترجم----------ة امير المءمنين	547	-6975711717136266207	Shia003675Vols-ara1.completed.ms0808	2997461354929431861	165	259	829	1282	1498	300	كنت لا تدرين ما الموت فانظري الي هانء في السوق وابن عقيل الي بطل- قد فلق السيف راسه واخر يهوي من جدار قتيل اصابهما امر الاله فاصبحا احاديث من يسعي بكل سبيل -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------تري جسدا قد غير الموت لونه ونضح دم قد سال كل مسيل فتي كان احيي من فتاه حيية واقطع من ذي شفرتين صقيل فان انتم لم تثاروا باخيكم فكونوا بغايا ارضيت بقليل ذكر كتاب عبيد الله بن زياد الي يزيد بن معاوية قال ثم كتب ابن زياد الي يزيد بن معاوية بسم الله الرحمن الرحيم لعبد الله يزيد بن معاوية امير المءمنين	808	6775594777709934334	171	124.0	132	677	25.258493423461914	28	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
Shamela0009773-ara1.completed.ms0581	5209226151649004749	1	158	8	787	1489	300	فقال له يا ابا الاسود لو كنت من البهاءم --كنت جملا ولو كنت له--- راعيا -ما بلغت به المرعي ولا احسنت مهنته ظ ----في المشتي فكتب---------------------------------------------------------------------------------------------- ابو الاسود الي علي عليه السلام اما ب-----------------------------عد فان الله---------------- جعلك----------------- واليا مءتمنا وراعيا مسءولا وق-د بلوناك فوجدناك عظيم الامانة ناصحا للرعية توفر لهم ظ وتظلف------- نفسك عن دنياهم فلا تاكل اموالهم ولا ترتشي في احكامهم وان عاملك وابن عمك---- قد اكل ما تحت يده بغير علمك ولا يسعني كتمانك ذلك فانظر رحمك الله فيما قبلنا من امرك واكتب الي براي------------------ك ان شاء الله والسلام فاجابه علي عليه ال--سلام اما بعد فقد فهمت كتابك ومثلك نصح الامام والامة ووالي علي الحق وفارق الجور وقد كتبت الي صاحبك فيما كتبت الي فيه من امره ولم اعلمه بكتابك الي فيه فلا تدع- اعلامي -ما يكون بحضرتك مما--- النظر فيه للامة صلاح فانك بذلك محقوق وهو عليك---- ---------------------------------------------واجب والسلام وكتب الي ابن عباس رضي الله -تعالي عنهما اما بعد -------------فقد بلغني عنك ام-ر ان --	581	-6975711717136266207	Shia003675Vols-ara1.completed.ms0675	1146692236553223077	4	199	21	984	1467	300	فقال اما والله------- لو كنت من البهاءهم لكنت جملا ولو كنت للجمل راعيا لما بلغت به المرعي ولا احسنت القيام عليه في الماء ما لك وللاحرار تهجوهم وتقول فيهم القبيح وتذكر اعراضهم بما لا يجب اخرج عني فعل الله بك وفعل قال فخرج ابو الاسود من عند ابن عباس مغضبا ثم كتب الي علي بن ابي طالب اما بعد فان الله تبارك وتعالي قد جعلك يا امير المءمنين واليا مءتمنا وراعيا مسءولا ولقد بلوناك فوجدناك عظيم الامانة ناصحا للرعية توفر عليهم حقوقهم وتزجر نفسك عن دنياهم ولا تاكل اموالهم ولا ترتشي في اموالهم وان ا-------بن عمك هذا قد اكل مال الل--ه بغير حق فلم-- يسعني كتمانك ذلك فانظر رحمك الله فيما ههنا--------- واكتب الي برايك فيما احببت من ذلك ان شاء الله قال فكتب ا-ليه علي رضي- الله عنه اما بعد ف---------------مثلك نصح الامام والامة ودل عل--ي الحق ------------وقد كتبت الي صاحبك فيما ذكرت من-------- امره ولم اعلمه بكتابك الي ف----لا تدعن اعلامي بما يكون بحضرتك ما فيه النظر -----لامة محمد صلي الله عليه واله وسلم فانه واجب عليك في دينك والسلام عليك ورحمة الله وبركاته قال- ثم -كتب علي الي عب-----د الله بن ال---عباس اما بعد يا بن العباس فقد بلغني عنك امور الله	675	6775594777709934334	541	751.0	421	1048	51.62213897705078	78	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
Shamela0009773-ara1.completed.ms0634	3989621117769230504	57	120	272	604	1501	300	علي رسول الله صلي الله عليه وسلم قال وفي ذلك يقول الشاعر لمن راية سوداء يخفق ظلها اذا قيل قدمها حضين تقدما يقدمها للموت حتي يزيرها حياض المنايا يقطر الموت والد-------------------------------------------------ما جزي الله قوما قاتلوا عن امامهم لدي الموت قدما ما اعف واكرما واطيب اخبارا واكرم شيمة --------اذا كان اصوات الرجال تغمغما ربيعة اعني انهم اهل نجدة وباس اذا لاقوا خميسا عرمرما وقال	634	-6975711717136266207	Shia003675Vols-ara1.completed.ms0514	2734372425696640190	55	125	285	638	1496	300	علي رضي ا----------لله عنه------------------ يقول------- لمن راية سوداء يخفق ظلها اذا قيل قدمها حضين تقدما يقدمها للموت حتي يزيرها حياض المنايا تقطر الموت والدما تراه اذا ما كان يوم كريهة ابي فيه الا عزة وتكرما جزي الله قوما صابروا في لقاءهم لدي الموت خيرا ما اعف واكرما ولا حسن صبرا حين يدعي الي الوغي اذا كان اصوات الرجال تغمغما ربيعة اعني انهم اهل نجدة وباس اذا لاقوا خميسا عرمرما وقد -	514	6775594777709934334	257	441.5	206	389	66.06684112548828	41	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
Shamela0009773-ara1.completed.ms0637	-5733989264221918659	190	279	979	1401	1505	300	لابن عمتك وكان احقهم -ان لا تفعل به ذلك لقرابته وفضله فقطعت رحمه وقبحت ح--سنه واظهرت له العداوة وبطنت له بالغش والبت الناس عليه حتي ضربت----- اباط الابل اليه من كل وجه وقيدت اليه الخيل من كل افق وشهر عليه السلاح في حرم رسول الله صلي الله عليه وسلم ف---قتل معك في المحلة وانت تسمع الهاءعة لا تدرا عن----------------------------ه بقول ولا فعل ولعمري يا بن ابي طالب---- لو قمت في حق-ه مقاما واحدا تنه------ي الناس فيه عنه وتقبح لهم ما ابتهلوا منه ما عدل بك من قبلنا من الناس	637	-6975711717136266207	Shia003675Vols-ara1.completed.ms0488	-7119554419740542558	34	114	185	577	1539	300	--بن عفان فكان الواجب ان لا تفعل به ذلك لقرابته وصهره فقطعت رحمه وقبحت محاسنه--------------------------------- والبت الناس عليه حتي ضربت عليه اباط الابل----- من الافاق وق-دت اليه الخيل العراب وحملت علي--ه السلاح في حرم رسول الله صلي الله عليه وسلم حتي قتل معك في المحلة وانت تسمع الداعية في داره ولا تري الناس من نفسك انك نصرته بقول ولا فعل واقسم بالله قسما صادقا ان لو قمت في امره مقاما واحدا فنهنهت عنه الناس ل--------------------------------ما عدل بك احد م-----ن الناس	488	6775594777709934334	269	381.5	205	472	56.99152374267578	44	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
Shamela0009773-ara1.completed.ms0638	-6346075798739365257	125	238	644	1226	1538	300	اما بعد فان اخا خولان قدم علي بكتاب منك تذكر فيه ---------------------محمدا----------------------------------------------- وما اكرمه الله به من الهدي والوحي------- فالحمد لله الذي صدق له الوعد-------------- ومكن له في البلاد واظهره علي الدين كله وقمع به اهل ----------------------------------------------------------العداوة والشنان من قومه الذين كذبوه وشنعوا له وظاهروا عليه وعلي اخراج اصحابه وقلبوا له الامور------- حتي ظهر امر الله وهم له كارهون فكان اشد الناس عليه------ الادني فالادني من قومه الا قليلا ممن عصم الله كذا و--------------------------------------------------------------------------------------------------------------------------------------ذكرت ان الله جل ثناءه وتباركت اسماءه اختار له من المءمنين اعوانا ايده بهم فكانوا في منازلهم عنده علي قدم قدر خ فضاءلهم في الاسلام فكان افضل-----هم خليفته------- وخليفة خليفته من بعده ولعمري ان مكانهما من الاسلام لعظيم وان المصاب ---	638	-6975711717136266207	Shia003675Vols-ara1.completed.ms0488	-7119554419740542558	172	298	870	1530	1539	300	اما بعد فانه اتاني كتاب---------------ك تذكر فيه اصطفاء الله فيه نبيه محمدا صلي الله عليه وسلم لدينه وتاييده اياه بمن ايده وما انعم- عليه في ----------الوحي والهدي فالحمد لله الذي صدق له الوعد وتمم له النصر ومكن له في البلاد واظهره علي------------------ اهل العناد في قومه الذين وثبوا به واظهروا له التكذيب ونابذوه بالعداوة والبغضاء----------------------------- وظاهروا ع------لي اخراج------ه وجهدوا عليه وعلي اصحابه حتي ظهر امر الله وهم--- كارهون وكان اشد الناس عليه اسرته الادني فالادني من قومه الا -------من عصم الله منهم ولقد خبا لنا منك الدهر خبيا معجبا اذا طفقت تخبرنا عن بلاء الله في نبيه محمد صلي الله عليه وسلم وفينا فكانك في ذلك كجالب التمر الي هجر ذكرت -------------------------------------------------------------------------------------------------------------------------------ان افضل اصحابه خليفته الصديق وخليفة خليفته الفاروق------- ان مكانهما في الاسلام لعظيم وان --مصابهما	488	6775594777709934334	298	385.5	236	891	33.4455680847168	42	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
Shamela0009773-ara1.completed.ms0642	-9213764652405953715	130	159	620	755	1439	300	ابن هند ساءلي ان ازوره وتلك التي فيها انتياب البواثق اتاه جرير من علي بخطة امرت عليه العيش مع كل ذاءق فو الله ما ادري الي اي جانب اميل	642	-6975711717136266207	Shia003675Vols-ara1.completed.ms1564	-5625517608589320592	194	221	1038	1169	1434	269	ابن هند ساءلي ان ازوره وتلك التي فيها بنات-- البواءق اتاه جرير من علي بخطة امرت عليه العيش مع كل ذاءق في الامامة والسياسة اما انك ان --	1564	6775594777709934334	109	191.0	84	135	80.74073791503906	19	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
Shamela0009773-ara1.completed.ms0643	4078773419215447959	129	236	622	1135	1466	300	معاوي لا اعطيك ديني ولم انل به منك دنيا فانظرن كيف تصنع فان تعطني مصرا فاربح -صفقة اخذت بها شيخا يضر وينفع وما الدين والدنيا سواء وانني لاخذ ما تعطي وراسي مقنع ولكنني اعطيك هذا وانني لاخدع نفسي والمخادع يخدع فلما اصبح معاوية دخل عليه عتبة بن ابي سفيان فقال له يا معاوية ما تصنع------------------ اما ترضي ان تشتري من عمرو دينه بمصر فاعطاه اياها وكتب له كتابا ان لا ينقض شرط طاعة فمحا عمرو ذلك وقال اكتب لا ينقض طاعة شرطا فقال له عتبة بن ابي سفيان--------------------------------------------------------------------------------------------------------- ايها المانع سيفا لم يهز انما ملت الي خز وقز انما انت خروف واقف بين ضرعين وصوف لم يجز	643	-6975711717136266207	Shia003675Vols-ara1.completed.ms1565	2220667569385229992	88	168	492	875	1442	283	معاوي لا اعطيك ديني ولم انل به منك دنيا فانظرن كيف تصنع فان تعطني مصرا فاربح بصفقة اخذت بها شيخا يضر وينفع ------------------------------------------------------------------------------------------------------------------------------------في ابيات اخري الاخبار الطوال ص الكتب وقعة صفين وقعة صفين اما ترضي ان تشتري عمرا-------- بمصر ------------------------------------------------------------------------------------------------------------------ان صفت لك فليتك لا تغلب علي الشام الابيات في الاخبار الطوال ص و الكتب وقعة صفين الصفحة وقعة صفين ص مطلعها ايها المانع سيفا لا يهز انما ملت علي خز وقز انما انت خروف ناعم بين ضرعين وصوف لم يجز	1565	6775594777709934334	220	271.5	169	637	34.53689193725586	43	Shamela0009773-ara1.completed	Shia003675Vols-ara1.completed
