id1	uid1	bw1	ew1	b1	e1	len1	tok1	s1	seq1	gid1	id2	uid2	bw2	ew2	b2	e2	len2	tok2	s2	seq2	gid2	matches	score	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
Shamela0023631-ara1.ms0075	4849055227073071272	207	246	1085	1281	1580	300	واذا قيل لهم انفقوا مما رزقكم الله قال الذين كفروا للذين -امنوا انطعم من لو يشاء الله اطعمه يس فهذا منهم امتناع عن الانفاق بحجة قصدهم فيها الاستهزاء فرد عليهم بقوله ان انتم الا في ضلال مبين يس لان -	75	-7962827565050914059	ShamAY0034052-ara1.ms1882	-448995989129906392	123	149	632	757	1571	300	واذا قيل لهم انفقوا مما رزقكم الله قال الذين كفروا للذين ءامنوا انطعم من لو يشاء الله اطعم-------------------------------------------------------------------------ه ان انتم الا في ضلال مبين يس واذا	1882	-998958863683779425	120	221.0	95	198	60.60606002807617	23	Shamela0023631-ara1	ShamAY0034052-ara1
Shamela0023631-ara1.ms0148	-484294619479351166	144	167	718	831	1528	300	وينذر الذين قالوا اتخذ الله ولدا ما لهم به من علم ولا لاباءهم كبرت كلمة تخرج من افواههم ان يقولون الا كذبا الكهف	148	-7962827565050914059	ShamAY0034052-ara1.ms1233	9202456619448721972	10	33	56	169	1563	300	وينذر الذين قالوا اتخذ الله ولدا ما لهم به من علم ولا لاباءهم كبرت كلمة تخرج من افواههم ان يقولون الا كذبا الكهف	1233	-998958863683779425	113	226.0	90	113	100.0	23	Shamela0023631-ara1	ShamAY0034052-ara1
Shamela0023631-ara1.ms0195	-126213850565651649	214	246	1120	1283	1568	300	الولاية لله الحق الكهف ما مثا------------------------------------------------له وقرا عمرو بن عبيد بالنصب علي التاكيد كقولك هذا عبد الله الحق لا الباطل وهي قراءة -سنة فصيحة وكان عمرو بن عبيد من افصح الناس وانصحهم	195	-7962827565050914059	ShamAY0034052-ara1.ms1254	-5432103075082531821	218	258	1122	1334	1558	300	الولاية لله كقوله لمن الملك اليوم غافر وقرء الحق بالرفع والجر صفة للولاية والله وقرا عمرو بن عبيد بالنصب علي التاكيد كقولك هذا عبد الله الحق لا الباطل وهي قراءة حسنة فصيحة وكان عمرو بن عبيد من افصح الناس وانصحهم	1254	-998958863683779425	148	273.5	119	212	69.81131744384766	27	Shamela0023631-ara1	ShamAY0034052-ara1
Shamela0023631-ara1.ms0196	-1454884303147501327	54	128	278	681	1571	300	قتل اولادهم شركاءهم الانعام وذلك ان الزمخشري قال هناك واما قراءة ابن عامر قتل اولادهم شركاءهم برفع القتل ونصب الاولاد وجر الشركاء علي اضافة القتل الي الشركاء والفصل بينهما بغير الظرف فشء لو كان في مكان الضرورات وهو الشعر لكان سمجا مردودا كما سمج ورد زج القلوص ابي مزادة فكيف به في الكلام المنثور فكيف به في القران المعجز بحسن نظمه وجزالته والذي حمله علي ذلك انه راي في بعض المصاحف شركاءهم مكتوبا بالياء	196	-7962827565050914059	ShamAY0034052-ara1.ms0647	-5341420377960143311	192	265	1011	1401	1611	300	قتل اولادهم من زينه فقيل زينه لهم شركاءهم------------ واما قراءة ابن عامر قتل اولادهم شركاءهم برفع القتل ونصب الاولاد وجر الشركاء علي اضافة القتل الي الشركاء والفصل بينهما بغير الظرف فشء لو كان في مكان الضرورات وهو الشعر لكان سمجا مردودا كما سمج ورد زج القلوص ابي مزاده فكيف به في الكلام المنثور فكيف به في القران المعجز بحسن نظمه وجزالته والذي حمله علي ذلك ان- راي في بعض المصاحف شركاءهم مكتوبا بالياء	647	-998958863683779425	362	691.0	293	403	89.82630157470703	65	Shamela0023631-ara1	ShamAY0034052-ara1
Shamela0023631-ara1.ms0237	95599914991140384	16	80	86	402	1627	300	تقول ربه يربه فهو رب كما تقول نم عليه ينم فهو نم فهو صفة مشبهة ويجوز ان يكون مصدرا بمعني التربية وهي تبليغ الشء الي كماله شيءا فشيءا وصف به الفاعل مبالغة كما وصف بالعدل و----------الرب باللام لا يقال الا ----لله عز وجل وهو في غيره علي التقييد بالاضافة كر------ب الدار ومنه -------قوله تعالي ارجع الي ربك يوسف انه ربي احسن مثواي يوسف والعالمين	237	-7962827565050914059	ShamAY0034052-ara1.ms0010	9108022467448002595	4	55	20	271	1519	300	تقول ربه يربه فهو رب كما تقول نم عليه ينم فهو نم-------------- ويجوز ان يكون وصفا بالمصدر لل-------------------------------------------------------مبالغة كما وصف بالعدل ولم يطلقوا الرب--------------- الا في الله وحده-- وهو في غيره علي التق-يد بالاضافة كقولهم رب الدار ورب الناقة وقوله تعالي ارجع الي ربك يوسف انه ربي احسن مثواي يوسف وقرا -----	10	-998958863683779425	198	302.0	156	343	57.725948333740234	36	Shamela0023631-ara1	ShamAY0034052-ara1
Shamela0023631-ara1.ms0252	3001744709743262708	106	227	564	1238	1608	300	انها اسماء للسور الثاني ان يكون ورود---- الاسماء هكذا مسرودة علي نمط التعديد كالايقاظ وقرع العصا لمن تحدي بالقران وبغرابة نظمه وكالتحريك للنظر في ان هذا المتلو عليهم وقد عجزوا عنه عن اخرهم كلام منظوم من عين ما ينظمون منه كلامهم ليءديهم النظر الي ان يستيقنوا ان لم تتساقط مقدرتهم دونه ولم تظهر معجزتهم عن ان ياتوا بمثله بعد المراجعات المتطاولة وهم امراء الكلام وزعماء الحوار وهم الحراص علي التساجل في اقتضاب الخطب والمتهالكون علي الافتنان في القصيد والرجز ولم يبلغ من الجزالة وحسن النظم المبالغ التي بزت بلاغة كل ناطق وشقت غبار كل سابق ولم يتجاوز الحد الخارج من قوي الفصحاء ولم يقع وراء مطامح اعين البصراء الا لانه ليس بكلام البشر وانه كلام خالق القوي والقدر قاله الزمخشري القول ---------	252	-7962827565050914059	ShamAY0034052-ara1.ms0020	-5376811228910846192	65	188	336	1012	1605	300	--ما اسقطه الوجه الثاني ان يكون ورود هذه الاسماء هكذا مسرودة علي نمط التعديد كالايقاظ وقرع العصا لمن تحدي بالقران وبغرابة نظمه وكالتحريك للنظر في ان هذا المتلو عليهم وقد عجزوا عنه عن اخرهم كلام منظوم من عين ما ينظمون منه كلامهم ليءديهم النظر الي ان يستيقنوا ان لم تتساقط مقدرتهم دونه ولم تظهر معجزتهم عن ان ياتوا بمثله بعد المراجعات المتطاولة وهم امراء الكلام وزعماء الحوار وهم الحراص علي التساجل في اقتضاب الخطب والمتهالكون علي الافتتان في القصيد والرجز ولم يبلغ من الجزالة وحسن النظم المبالغ التي بزت بلاغة كل ناطق وشقت غبار كل سابق ولم يتجاوز الحد الخارج من قوي الفصحاء ولم يقع وراء مطامح اعين البصراء الا لانه ليس بكلام البشر وانه كلام خالق القوي والقدر وهذا ---------القول من القوة	20	-998958863683779425	650	1270.0	530	687	94.61426544189453	114	Shamela0023631-ara1	ShamAY0034052-ara1
Shamela0023631-ara1.ms0257	-2676329478840597521	274	300	1483	1630	1630	300	-اصل ناس اناس حذفت همزته تخفيفا---------------------- وحذفها مع لام التعريف كاللازم-------------------- ويشهد لاصله انسان واناس واناسي وانس وسموا لظهورهم وانهم يءنسون اي يبصرون كما سمي الجن	257	-7962827565050914059	ShamAY0034052-ara1.ms0041	-2989420846876537290	245	280	1380	1570	1669	300	واصل ناس اناس حذفت همزته تخفيفا كما قيل لوقه في الوقة وحذفها مع لام التعريف كاللازم لا يكاد يقال الاناس ويشهد لاصله انسان واناس واناسي وانس وسموا لظهورهم وانهم يءنسون اي يبصرون كما سمي الجن	41	-998958863683779425	147	268.5	121	190	77.36842346191406	23	Shamela0023631-ara1	ShamAY0034052-ara1
Shamela0023631-ara1.ms0260	-290613980892687848	227	279	1252	1533	1640	300	قولهم امنا بالله وباليوم الاخر وهم غير مءمنين وفيه رمز الي قبح الكذب وسماجته وتخييل ان العذاب الاليم لا حق بهم من اجل كذبهم مع احاطة علم السامع بان لحوق العذاب بهم من جهات شتي ونحوه قوله تعالي مما خطيءاتهم اغرقوا نوح والقوم كفرة وانما خصت الخطيءات استعظاما لها وتنفيرا عن ارتكابها	260	-7962827565050914059	ShamAY0034052-ara1.ms0047	7839501136685889134	121	158	644	856	1568	300	قولهم امنا بالله وباليوم الاخر--------------- وفيه رمز الي قبح الكذب وسماجته وتخييل ان العذاب الاليم لا-حق بهم من اجل كذبهم---------------------------------------------------- ونحوه قوله تعالي مما خطي-اتهم اغرقوا نوح والقوم كفرة وانما خصت الخطيءات استعظاما لها وتنفيرا عن ارتكابها	47	-998958863683779425	212	393.0	175	281	75.44483947753906	37	Shamela0023631-ara1	ShamAY0034052-ara1
Shamela0023631-ara1.ms0261	-7086622193572928372	21	180	106	976	1664	300	-الفساد خروج الشء عن حال استقامته وكونه منتفعا به ونقيضه الصلاح وهو الحصول علي الحالة المستقيمة النافعة والفساد في الارض تهييج الحروب والفتن لان--------- في ذلك فساد ما في الارض وانتفاء الاستقامة عن احوال الناس والزروع والمنافع الدينية والدنيوية قال الله تعالي واذا تولي سعي في الارض ليفسد فيها ويهلك الحرث والنسل والله لا يحب الفساد البقرة اتجعل فيها من يفسد فيها ويسفك الدماء البقرة ومنه قيل لحرب كانت بين طء حرب الفساد وكان افساد المنافقين في الارض انهم كانوا يمالءون الكفار عل-----------ي المسلمين بافشاء اسرارهم اليهم واغراءهم عليهم واتخاذهم اولياء مع ما يدعون في السر الي تكذيب النبي صلي الله عليه وسلم وجحد الاسلام والقاء الشبه وذلك مما يجرء الكفرة علي اظهار عداوة النبي صلي الله عليه وسلم ونصب الحرب له وطمعهم في الغلبة فلما كان ذلك من صنيعهم مءديا الي الفساد بتهييج الفتن بينهم قيل لهم لا تفسدوا كما تقول للرجل لا تقتل نفسك بيدك ولا تلق نفسك في النار اذا اقدم علي ما هذه عاقبته وقد	261	-7962827565050914059	ShamAY0034052-ara1.ms0048	-3203522294088656980	84	210	448	1138	1597	300	والفساد خروج الشء عن حال استقامته وكونه منتفعا به ونقيضه الصلاح وهو الحصول علي الحال -المستقيمة النافعة والفساد في الارض هي--ج الحروب والفتن لان صفحة رقم في ذلك فساد ما في الارض وانتفاء الاستقامة عن احوال الناس والزروع والمنافع الدينية والدنيوية قال الله تعالي واذا تولي سعي في الارض ليفسد فيها ويهلك الحرث والنسل الب--------------------قرة اتجعل فيها من يفسد فيها ويسفك الدماء البقرة ومنه قيل لحرب كانت بين طء حرب الفساد وكان -فساد المنافقين في الارض انهم كانوا يمايلون الكفار ويمالءونهم علي المسلمين بافشاء اسرارهم اليهم واغراءهم عليهم------------------------------------------------------------------------------------------------- وذلك مما يءدي الي هيج الفتن بينهم----------------------------------------------------------- فلما كان ذلك من صنيعهم مءديا الي الفساد ق-------------------يل لهم لا تفسدوا كما تقول للرجل لا تقتل نفسك بيدك ولا تلق نفسك في النار اذا اقدم علي ما هذه عاقبته و --	48	-998958863683779425	637	1185.0	519	891	71.49270629882812	108	Shamela0023631-ara1	ShamAY0034052-ara1
Shamela0023631-ara1.ms0262	-6872363873752754113	126	155	734	891	1716	300	سفهوهم مع ان------------هم العقلاء المراجيح---- لانهم لجهلهم واخلالهم بالنظر وانصاف انفسهم اعتقدوا ان ما هم فيه هو الحق وان ما عداه باطل ومن ركب متن الباطل كان سفيها ولانهم	262	-7962827565050914059	ShamAY0034052-ara1.ms0049	-4079588264455272858	269	300	1388	1561	1561	300	سفهوهم واستركوا عقولهم وهم العقلاء المراجيح قلت لانهم لجهلهم واخلالهم بالنظر وانصاف انفسهم اعتقدوا ان ما هم فيه هو الحق وان ما عداه باطل ومن ركب متن الباطل كان سفيها ولانهم	49	-998958863683779425	152	284.0	124	173	87.86127471923828	26	Shamela0023631-ara1	ShamAY0034052-ara1
