id1	uid1	bw1	ew1	b1	e1	len1	tok1	s1	seq1	gid1	id2	uid2	bw2	ew2	b2	e2	len2	tok2	s2	seq2	gid2	matches	score	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
Shamela0023635-ara1.ms0210	4805057440450060648	254	300	1310	1546	1546	300	صلي الله عليه وسلم انه قال------------------------------------------------------ فاتحة الكتاب شفاء من السم------------------------------------- وعن حذيفة بن اليمان قال قال رسول الله صلي الله عليه وسلم---- ان القوم ليبعث الله عليهم العذاب حتما مقضيا فيقرا صبي من صبيانهم في المكتب الحمد لله رب العالمين فيسمعه الله تعالي فيرفع عنهم	210	4964885852090605611	Shamela0023588-ara1.ms0027	-100144435885451716	19	81	107	433	1607	300	صلي الله عليه وسلم جالس اذ اتاه ملك فقال ابشر بنورين اوتيتهما لم يءتهما نبي قبلك فاتحة الكتاب وخواتيم سورة البقرة لن تقرا حرفا منهما الا اعطيته وعن حذيفة بن اليمان ان----- رسول الله صلي الله عليه وسلم قال ان القوم ليبعث الله عليهم العذاب حتما مقضيا فيقرا صبي من صبيانهم في الكتاب الحمد لله رب العالمين فيسمعه الله تعالي فيرفع عنهم	27	559226356552415923	209	341.5	166	331	63.14199447631836	38	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0349	2949306011774264562	94	227	526	1252	1661	300	-بسم الله الرحمن الرحي----م سورة البقرة مدنية الا اية فنزلت بمني في حجة الوداع واياتها ماءتان وست- وثمانون---- سورة البقرة اية بسم الله الرحمن الرحيم الم تفسير الم حروف الهجاء الم فيه مسالتان المسالة الاولي اعلم ان الالفاظ التي يتهجي بها اسماء مسمياتها الحروف المبسوطة لان الضاد مثلا لفظة مفردة دالة بالتواطء علي معني مستقل بنفسه من غير دلالة علي الزمان المعين لذلك المعني وذلك المعني هو الحرف الاول من ضرب فثبت انها اسماء ولانها يتصرف فيها بالامالة والتفخيم والتعريف والتنكير والجمع والتصغير والوصف والاسناد والاضافة فكانت لا محالة اسماء فان قيل قد روي ابو عيسي الترمذي عن عبد الله بن مسعود قال قال رسول الله صلي الل--------------ه عليه وسلم-------------- من قرا حرفا من كتاب الله تعالي فله حسنة والحسنة بعشر امثالها لا اقول الم حرف لكن الف حرف ولام حرف وميم حرف	349	4964885852090605611	Shamela0023588-ara1.ms0027	-100144435885451716	80	170	428	901	1607	300	عنهم بذلك العذاب اربعين سنة سورة البقرة مدنية واي-----------------------------------ها ماءتان وسبع وثمانون اية سورة البقرة اية بسم الله الرحمن الرحيم الم------ الم وساءر--------------------------------------------- الالفاظ التي يتهجي بها اسماء مسمياتها الحروف التي ركبت منها الكلم لدخولها في حد الاسم واعتوار ما يخص ب-----------ه من -------------------------------------------------------------------------------------------------------------------------------التعريف والتنكير والجمع والتصغير ونحو ذلك عليها وبه صرح الخليل وابو علي وما-------------- روي ا----------------------------بن مسعود رض------------------ي الله تعالي عنه انه عليه الصلاة والسلام قال من قرا حرفا من كتاب الله------ فله حسنة والحسنة بعشر امثالها لا اقول الم حرف بل- الف حرف ولام حرف وميم حرف	27	559226356552415923	318	414.5	251	764	41.6230354309082	47	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0380	3159171464560715780	8	37	42	213	1651	300	سورة البقرة اية الذين يءمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون اعلم ان فيه مساءل المسالة الاولي قال صاحب الكشاف الذين يءمنون------- اما موصول بالمتقين علي انه صفة مجرورة	380	4964885852090605611	Shamela0023588-ara1.ms0035	6995391848207392615	89	110	510	639	1720	300	سورة البقرة اية الذين يءمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينف-------------------------------------------------قون الذين يءمنون بالغيب اما موصول بالمتقين علي انه صفة مجرورة	35	559226356552415923	119	227.0	99	178	66.85393524169922	19	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0405	6398948624807682800	221	275	1150	1452	1579	300	تعالي س--واء عليهم اانذرتهم ام لم تنذرهم لا يءمنون ففيه مساءل المسالة الاولي قال صاحب الكشاف سواء اسم بمعني الاستواء وصف به كما يوصف بالمصادر ومنه قوله تعالي تعالوا الي كلمة سواء بيننا وبينكم ال عمران في اربعة ايام سواء للساءلين فصلت بمعني مستوية فكانه قيل ان الذين كفروا مستو عليهم انذارك وعدمه المسالة	405	4964885852090605611	Shamela0023588-ara1.ms0042	-3217437140865353132	154	201	812	1054	1588	300	--العلم سواء عليهم اانذرتهم ام لم تنذرهم خبر ان وس--------------------------------------------واء اسم بمعني الاستواء نعت به كما نعت- بالمصادر قال ال-له تعالي تعالوا الي كلمة سواء بيننا وبينكم رفع بانه خبر ان وما بعده مرتفع به علي الفاعلية ---------كانه قيل ان الذين كفروا مستو عليهم انذارك وعدمه او -----	42	559226356552415923	171	262.0	138	304	56.25	26	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0425	-2099406622894270062	147	247	851	1388	1646	300	لقوله تعالي وختم علي سمعه وقلبه ---وجعل علي بصره --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------غشاوة الجاثية ولوقفهم علي سمعهم دون قلوبهم المسالة الخامسة الفاءدة في تكرير الجار في قوله وعلي سمعهم انها لما اعيدت للاسماع كان ادل علي شدة الختم في الموضعين المسالة السادسة انما جمع القلوب والابصار ووحد السمع لوجوه احدها انه وحد السمع لان لكل واحد منهم سمعا واحدا كما يقال اتاني براس الكبشين يعني راس كل واحد منهما كما وحد البطن في قوله كلوا في بعض بطنكمو تعيشوا يفعلون ذلك اذا امنوا اللبس فاذا لم يءمن كقولك فرشهم وثوبهم وانت تريد الجمع رفضوه الثاني ان السمع مصدر في اصله والمصادر لا تجمع	425	4964885852090605611	Shamela0023588-ara1.ms0045	1803296052703745284	82	154	467	864	1674	300	لقوله تعالي وختم علي سمعه وقلبه وللوفاق علي الوقف عليه ولانهما لما اشتركا في الادراك من جميع الجوانب جعل ما يمنعهما من خاص فعلهما الختم الذي يمنع من جميع الجهات وادراك الابصار لما اختص بجهة المقابلة جعل المانع لها عن فعلها الغشاوة المختصة بتلك الجهة وكر----------------------------------------------ر الجار ليكو----------------------------------------ن ادل علي شدة الختم في الموضعين واستقلال كل منهما بالحكم---------------- ووحد السمع للامن من---------------------------------------------------------------------------------------------------------------------------------------------------------------------- اللبس واعتبار الاصل فانه--------------------------------------------------- مصدر في اصله والمصادر لا تجمع	45	559226356552415923	146	144.0	113	716	20.391061782836914	23	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0427	-7451769347369689018	2	84	10	440	1565	300	ثم اتسع فيه فسم-ي كل الم فادح عذابا وان لم يكن نكالا اي عقابا يرتدع به الجاني عن المعاود-------------------------------------------------------------------ة والفرق بين العظيم والكبير ان العظيم نقيض الحقير والكبير نقيض الصغير فكان العظيم فوق الكبير كما ان الحقير دون الصغير ويستعملان في الجثث والاحداث-------------------------------------------- جميعا تقول رجل عظيم وكبير تريد جثته او خطره ومعني التنكير--------- ان علي ابصارهم نوعا من الاغطية غير ما يتعارفه الناس وهو غطاء التعامي عن --ايات الله ولهم من بين الالام العظام نوع عظيم لا يعلم كنهه الا الله	427	4964885852090605611	Shamela0023588-ara1.ms0046	-3999614611827308085	10	97	59	523	1659	300	ثم اتسع فاطلق علي كل الم قادح------ وان لم يكن نكالا اي عقابا يردع---- الجاني عن المعاودة فهو اعم منهما وقيل اشتقاقه من التعذيب الذي هو ازالة العذب كالتقذية والتمريض والع-------------------ظيم نقيض الحقير والكبير نقيض الصغير ف----------------------كما ان الحقير دون الصغير فالعظيم فوق الكبير ومعني التوصيف به انه اذا قيس بساءر ما يجانسه قصر عنه جميعه وحقر بالاضافة الي-------------------ه ومعني التنكير في الاية ان علي ابصارهم نوع غشاوة ليس م-----ما يتعارفه الناس وهو -----التعامي عن الايات----- ولهم من---- الالام العظام نوع عظيم لا يعلم كنهه الا الله	46	559226356552415923	271	378.0	215	553	49.00542449951172	41	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0452	7436602991574561198	38	125	194	658	1638	300	----ان -الطغيان هو ------------------الغلو في الكفر و-----مجاوزة الحد في العتو قال تعالي انا لما طغي الماء الحاقة اي جاوز قدره وقال اذهب الي فرعون انه طغي طه اي اسرف وتجاوز الحد وقرا زيد بن علي في طغيانهم بالكسر وهما لغتان كلقيان ولقيان والعمه مثل العمي الا ان العمي عام في البصر والراي والعمه في الراي خاصة وهو التردد والتحير لا يدري اين يتوج----------------------------------------------------------------ه سورة البقرة اية اولءك الذين اشتروا الضلالة بالهدي فما ربحت تجارتهم وما كانوا مهتدين واعلم ا---ن اشتراء الضلالة بالهدي اختيارها عليه واستبدالها به فان --	452	4964885852090605611	Shamela0023588-ara1.ms0054	-7346832508862394077	228	297	1262	1655	1672	300	كلقيان والطغيان تجاوز الحد في العتو والغلو في الكفر واصله تجاوز- الشء عن مكانه قال تعالي انا لما طغي الماء حملناكم والعمه في البصيرة كالعم------------------------------------------------------ي في -----------------------------------------------------------------------------البصر---------------------------- وهو --------التحير في الامر يقال رجل عامه وعمه وارض عمهاء لا منار بها قال اعمي الهدي بالجاهلين العمه سورة البقرة اية اولءك الذين اشتروا الضلالة بالهدي فما ربحت تجارتهم وما كانوا مهتدين اولءك الذين اشتروا الضلالة بالهدي اختاروها عليه واستبدلوها به واصله	54	559226356552415923	225	316.5	179	561	40.10695266723633	28	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0452	7436602991574561198	238	299	1287	1635	1638	300	ولما رايت النسر عز ابن داية وعشش في وكريه جاش له صدري لما شبه الشيب بالنسر----- والشعر الفاحم بالغراب اتبعه بذكر التعشيش والوكر فكذا هاهنا لما ذكر سبحانه الشراء اتبعه ما يشاكله ويواخيه تمثيلا لخسارتهم وتصويرا لحقيقته اما قوله-------------------------------------------------------------------------------------------------------- وما كانوا مهتدين فالمعني ------ان الذي تطلبه التجار في متصرفاتهم امران سلامة راس المال والربح وهءلاء قد اضاعوا الامر-ين لان راس مالهم	452	4964885852090605611	Shamela0023588-ara1.ms0055	3059087455067072066	120	182	676	1025	1677	300	ولما رايت النسر عز ابن داية وعشش في وكريه جاش له صدري والتجارة طلب الربح بالبيع و-------------------------------------------------------------------------الشراء ------------------والربح الفضل علي راس المال ولذلك سمي شفا واسناده الي التجارة وهو لاربابها علي الاتساع لتلبسها بالفاعل او لمشابهتها اياه من حيث انها سبب الربح والخسران وما كانوا مهتدين لطرق التجارة فان المقصود منها------------------------ سلامة راس المال والربح وهءلاء قد اضاعوا الطلبتين لان راس مالهم	55	559226356552415923	152	215.5	120	464	32.75862121582031	25	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0459	-6784470544972770927	24	49	133	259	1569	300	يكاد البرق يخطف ابصارهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصارهم ان الله علي كل شء قدير	459	4964885852090605611	Shamela0023588-ara1.ms0060	-1508149140167236873	121	146	660	786	1606	300	يكاد البرق يخطف ابصارهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصارهم ان الله علي كل شء قدير	60	559226356552415923	126	252.0	101	126	100.0	25	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0463	-6631715277501290813	171	203	911	1077	1579	300	لا تمر بشء الا اتت عليه -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------الا انها مع قوتها سريعة الخمود السءال الرابع عشر ما احاطة -----------------------------------------------------------------------الله----- بالكافرين الجواب انه مجاز والمعني انهم لا يفوتونه كما لا يفوت المحاط به المحيط	463	4964885852090605611	Shamela0023588-ara1.ms0060	-1508149140167236873	0	109	1	592	1606	300	لا تمر بشء الا اتت عليه من الصعق وهو شدة الصوت وقد تطلق علي كل هاءل مسموع او مشاهد يقال صعقته الصاعقة اذا اهلكته بالاحراق او شدة الصوت وقرء من الصواقع وهو ليس بقلب من الصواعق لاستواء كلا البناءين في التصرف يقال صقع الديك وخطيب مصقع وصقعته الصاقعة وهي في الاصل اما صفة لقصفة الرعد او للرعد والتاء للمبالغة كما في الرواية او مصدر كالعافية والكاذبة حذر الموت نصب علي العلة كقوله واغفر عوراء الكريم ادخاره واصفح عن شتم اللءيم تكرما والموت زو-----------------------------------ال الحياة وقيل عرض يضادها لقوله خلق الموت والحياة ورد بان الخلق بمعني التقدير والاعدام مقدرة والله محيط بالكافرين لا -----------------------------يفوتونه كما لا يفوت المحاط به المحيط	60	559226356552415923	82	-100.0	65	655	12.519083976745605	13	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0464	-8007753353014610812	108	167	565	883	1557	300	قال مع الاضاءة كلما ومع الاظلام اذا قلنا لانهم حراص علي امكان المشء فكلما صادفوا منه فرصة انتهزوها وليس كذلك التوقف والاقرب في اظلم ان يكون غير متعد وهو الظاهر ومعني قاموا وقفوا وثبتوا في مكانهم ومنه قامت السوق--------- وقام الماء---- جمد ومفعول شاء محذوف لان الجواب يدل عليه والمعني ولو شاء الله ان يذهب بسمعهم------------ وابصارهم لذ------------هب بهما	464	4964885852090605611	Shamela0023588-ara1.ms0061	-4356471307093411219	51	102	260	534	1598	300	قال مع الاضاءة كلما ومع الاظلام اذ-----ا لانهم حراص علي------ المشي فكلما صادفوا منه فرصة انتهزوها ولا- كذلك التوقف-------------------------------------------- ومعني قاموا وقفوا----------------- ومنه قامت السوق اذا ركدت وقام الماء اذا جمد و---لو شاء الله لذهب بسمعهم وابصارهم ا-----ي ولو شاء الله ان يذهب بسمعهم بقصيف الرعد وابصارهم بوميض البرق لذهب بهما	61	559226356552415923	207	307.5	164	355	58.30986022949219	31	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0495	-3333550358309978356	111	145	606	774	1623	300	من قبلكم قال صاحب الكشاف الوجه فيه انه افحم الموصول الثاني بين الاول وصلته تاكيدا كما اقحم جرير في قوله يا تيم تيم عدي لا ابا لكموا تيما الثاني بين الاول وما اضيف اليه	495	4964885852090605611	Shamela0023588-ara1.ms0065	-3858629331443287021	24	53	126	268	1599	300	من قبلكم علي اقحا-------------------------م الموصول الثاني بين الاول وصلته تاكيدا كما اقحم جرير في قوله يا تيم تيم عدي لا ابا لكمو- تيما الثاني بين الاول وما اضيف اليه	65	559226356552415923	136	248.0	107	168	80.95237731933594	26	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0526	-8481596824802172490	26	82	142	436	1586	300	معدة للكافرين وليس فيه ما يدل علي ان هناك نيرانا اخري غير موصوفة بهذه الصفات معدة لفساق اهل الصلاة سورة البقرة اية وبشر الذين امنوا وعملوا الصالحات ان لهم جنات تجري من تحتها الانهار كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل واتوا به متشابها ولهم فيها ازواج مطهرة وهم فيها خالدون	526	4964885852090605611	Shamela0023588-ara1.ms0073	661459213254019216	71	118	384	630	1575	300	اعدت للكافرين -------------دل علي ان النار مخلوقة--------------------------- معدة الان لهم-------- سورة البقرة اية وبشر الذين امنوا وعملوا الصالحات ان لهم جنات تجري من تحتها الانهار كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل واتوا به متشابها ولهم فيها ازواج مطهرة وهم فيها خالدون	73	559226356552415923	224	408.0	179	294	76.19047546386719	41	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0539	-2929714657850588374	118	162	609	832	1557	300	سورة البقرة الايات الي ان الله لا يستحيي ان يضرب مثلا ما بعوضة فما فوقها فاما الذين امنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفاسقين الذين	539	4964885852090605611	Shamela0023588-ara1.ms0078	-7231002223368098744	49	92	258	471	1587	300	سورة البقرة اية------- ان الله لا يستحيي ان يضرب مثلا ما بعوضة فما فوقها فاما الذين امنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفاسقين ان ---	78	559226356552415923	209	406.0	167	223	93.72196960449219	41	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0727	-4459075814388941667	36	85	187	398	1483	300	ابن عباس ان ادم عليه السل-----ام قال يا رب الم تخلقني بيدك بلا واسطة قال بلي قال يا رب الم تنفخ في------ من روحك قال بلي قال الم تسكني جنتك قال يا رب الم تسبق رحمتك غض---------------------------بك قال بلي قال يا رب ان تبت واصلحت تردني----- الي الجنة قال	727	4964885852090605611	Shamela0023588-ara1.ms0098	1519537672652415295	0	51	1	223	1573	300	ابن عباس--- رضي الله تعالي عنهما قال يا رب الم تخلقني بيدك---------- قال بلي قال يا رب الم تنفخ في الروح من روحك قال بلي------------------- قال يا رب الم تسبق رحمتك غضبك قال بلي قال الم تسكني جنتك قال بلي قال يا رب ان تبت واصلحت اراجعي انت الي الجنة قال	98	559226356552415923	164	265.0	122	254	64.56693267822266	34	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0758	8958153251154175826	155	277	815	1412	1538	300	-ان الم-رء يجب-- ان لا يخاف احدا الا الله تعالي وكما يجب ذلك في الخوف فكذا في الرجاء والامل وذلك يدل علي ان الكل بقضاء الله وقدره اذ لو كان العبد مستقلا بالفعل لوجب ان يخاف منه كما يخاف من الله تعالي وحينءذ يبطل الحصر الذي دل عليه قوله تعالي واياي فارهبون بل كان يجب ان لا يرهب الا نفسه لان مفاتيح الثواب والعقاب بيده لا بيد الله تعالي فوجب ان لا يخاف الا نفسه وان لا يخاف الله البتة وفيها دلالة علي انه يجب علي المكلف ان ياتي بالطاعات للخوف والرجاء وان ذلك لا بد منه في صحتها والله اعلم سورة البقرة اية وامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ولا تشتروا باياتي ثمنا قليلا واياي فاتقون	758	4964885852090605611	Shamela0023588-ara1.ms0102	2058625736478406510	210	241	1208	1369	1716	300	وان المءمن ينبغي ان لا يخاف احدا الا الله تعالي-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- سورة البقرة اية وامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ولا تشتروا باياتي ثمنا قليلا واياي فاتقون	102	559226356552415923	154	276.5	123	601	25.623960494995117	27	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0803	-366012422249422109	110	195	601	1056	1622	300	المحنة ان اشير بلفظ ذلكم الي صنع فرعون والنعمة ان اشير به الي الانجاء وحمل--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ه علي النعمة اولي لانها هي التي صدرت------ من الرب تعالي ولان موضع الحجة علي اليهود انعام الله تعالي -علي اسلافهم-------------------------------------------------- سورة البقرة اية واذ فرقنا بكم البحر فانجيناكم واغرقنا ال فرعون وانتم تنظرون هذا هو النعمة الثانية وقوله فرقنا اي فصلنا بين بعضه وبعض حتي صارت فيه مسالك لكم---------------------------------------------------------------------- وقرء فرقنا بالتشديد بمعني فصلنا يقال فرق بين الشيءين وفرق بين الاشياء لان المسالك كانت اثنتي عشرة علي عدد الاسباط فان ------	803	4964885852090605611	Shamela0023588-ara1.ms0108	-872387595431895829	65	197	344	1057	1587	300	--محنة ان اشير ب----ذلكم الي صنيعهم ونع-----مة ان اشير به الي الانجاء واصله الاختبار لكن لما كان اختبار الله تعالي عباده تارة بالمنحة اطلق عليهما ويجوز ان يشار بذلكم الي الجملة ويراد به الامتحان الشاءع بينهما من ربكم بتسليطهم عليكم او ببعث موسي عليه السلام وتوفيقه لتخليصكم او بهما عظيم صفة بلاء وفي الاية تنبيه علي ان ما يصيب العبد من خير او شر اختبار --------------------------------------------من الله تعالي فعليه ان يشكر علي مساره ويصبر علي مضاره ليكون من خير المختبرين سورة البقرة اية واذ فرقنا بكم البحر فانجيناكم واغرقنا ال فرعون وانتم تنظرون واذ فرقنا بكم البحر فلقناه وفص---------لنا بين بعضه وبعض حتي حصلت فيه مسالك بسلوككم فيه او بسبب انجاءكم او ملتبسا بكم كقوله تدوس بنا الجماجم والتريبا وقرء فرقنا علي بناء التكثير------------------------------------------ لان المسالك كانت اثن-ي عشر ب----عدد الاسباط فانجيناكم	108	559226356552415923	250	319.5	198	824	30.339805603027344	37	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0815	-5942407424965760045	221	254	1173	1355	1587	300	الجواب والله اعلم------- سورة البقرة اية واذ قال موسي لقومه يا قوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الي بارءكم فاقتلوا انفسكم ذلكم خير لكم عند بارءكم فتاب عليكم انه هو التواب الرحيم	815	4964885852090605611	Shamela0023588-ara1.ms0110	-9009038006228747569	13	47	71	260	1607	300	الكتاب والتفكر في الايات سورة البقرة اية واذ قال موسي لقومه يا قوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا الي بارءكم فاقتلوا انفسكم ذلكم خير لكم عند بارءكم فتاب عليكم انه هو التواب الرحيم	110	559226356552415923	173	332.0	141	189	91.53439331054688	30	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0830	-6595878337661408139	247	296	1299	1555	1576	300	اي مسالتنا حطة او امرك حطة والاصل النصب---------------------------------- بمعني حط عنا ذنوبنا حطة وانما رفعت لتعطي معني الثبات كقوله صبر جميل فكلانا مبتلي والاصل صبرا علي تقدير اصبر صبرا وقرا ابن ابي عبلة بالنصب ورابعها قول ابي مسلم الاصفهاني معناه امرنا حطة اي ان نحط في هذه القرية ونستقر	830	4964885852090605611	Shamela0023588-ara1.ms0112	585544436432867368	93	132	513	701	1626	300	اي مسالتنا---- او امرك حطة وهي فعلة من الحط كالجلسة وقرء بالنصب علي الاصل بمعني حط عنا ذنوبنا حطة او علي انه مفعول قولوا اي قولوا هذه الكلمة وقيل------------------------------------------------------------------------------------------------- معناه امرنا حطة اي ان نحط في هذه القرية ونقيم -	112	559226356552415923	97	121.0	74	290	33.44827651977539	18	Shamela0023635-ara1	Shamela0023588-ara1
Shamela0023635-ara1.ms0837	1213491563015329865	134	171	717	912	1610	300	-البيان في سورة البقرة والله اعلم سورة البقرة اية واذ استسقي موسي لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل اناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الارض مفسدين	837	4964885852090605611	Shamela0023588-ara1.ms0113	6324960114686543805	22	59	112	304	1505	300	مات---- في ساعة اربعة وعشرون الفا سورة البقرة اية واذ استسقي موسي لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل اناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الارض مفسدين	113	559226356552415923	175	333.0	139	196	89.28571319580078	32	Shamela0023635-ara1	Shamela0023588-ara1
